companyticker,year,roce,roe,pat,pe,marketcap
TCS.NS,2019,53.0,38.11,30065.0,23.05,692508.75
TCS.NS,2020,54.0,44.72,33260.0,19.1,634980.0
TCS.NS,2021,53.0,41.39,30960.0,35.61,1102711.0
TCS.NS,2022,61.0,49.48,38187.0,33.97,1297579.8
TCS.NS,2023,64.0,52.46,39106.0,28.78,1125643.98
TCS.NS,2024,75.0,60.4,43559.0,31.68,1380624.56
INFY.NS,2019,31.0,23.44,14702.0,19.17,1405202.04
INFY.NS,2020,32.0,24.98,15543.0,15.43,1198328.94
INFY.NS,2021,35.0,25.23,18048.0,29.03,2619367.5
INFY.NS,2022,39.0,30.64,21235.0,34.63,3675896.79
INFY.NS,2023,44.0,34.35,23268.0,23.84,2773477.24
INFY.NS,2024,46.0,33.55,27234.0,21.91,2983165.25
RELIANCE.NS,2019,11.0,8.68,35163.0,23.9,3939117.99
RELIANCE.NS,2020,9.0,7.9,30903.0,21.89,3170957.97
RELIANCE.NS,2021,6.0,6.73,31944.0,36.2,5877195.5
RELIANCE.NS,2022,8.0,8.29,39084.0,41.66,8142556.95
RELIANCE.NS,2023,10.0,9.22,44190.0,32.71,7228591.42
RELIANCE.NS,2024,10.0,8.16,42042.0,47.63,10011988.5
HDFCBANK.NS,2019,0.0,14.13,21078.0,28.19,594480.55
HDFCBANK.NS,2020,0.0,15.36,26257.0,17.09,448483.2
HDFCBANK.NS,2021,0.0,15.27,31117.0,25.13,781466.77
HDFCBANK.NS,2022,0.0,15.39,36961.0,21.04,778215.45
HDFCBANK.NS,2023,0.0,15.74,44109.0,19.64,866451.24
HDFCBANK.NS,2024,0.0,13.81,60812.0,17.93,1090524.0
ICICIBANK.NS,2019,0.0,3.1,3363.0,74.18,499113.69
ICICIBANK.NS,2020,0.0,6.81,7931.0,25.76,408624.3
ICICIBANK.NS,2021,0.0,10.98,16193.0,24.23,784631.22
ICICIBANK.NS,2022,0.0,13.69,23339.0,21.25,992279.3
ICICIBANK.NS,2023,0.0,15.89,31896.0,18.88,1205136.02
ICICIBANK.NS,2024,0.0,17.15,40888.0,18.72,1531815.3
KOTAKBANK.NS,2019,0.0,11.47,4865.0,52.36,1273256.1
KOTAKBANK.NS,2020,0.0,12.26,5947.0,41.56,1236587.55
KOTAKBANK.NS,2021,0.0,11.02,6965.0,49.74,1731990.52
KOTAKBANK.NS,2022,0.0,11.91,8573.0,40.51,1735444.48
KOTAKBANK.NS,2023,0.0,13.18,10939.0,31.41,1717423.29
KOTAKBANK.NS,2024,0.0,14.25,13782.0,25.8,1778007.56
LT.NS,2019,16.0,14.97,7491.0,24.49,367584.53
LT.NS,2020,13.0,12.8,6679.0,16.17,216153.63
LT.NS,2021,12.0,19.11,11798.0,16.21,382657.37
LT.NS,2022,13.0,11.74,7879.0,30.59,482108.89
LT.NS,2023,14.0,10.97,7849.0,38.09,597821.88
LT.NS,2024,15.0,14.46,9331.0,55.58,1037542.0
SBIN.NS,2019,0.0,0.39,862.0,307.02,265646.52
SBIN.NS,2020,0.0,6.24,14488.0,11.19,162022.88
SBIN.NS,2021,0.0,8.04,20410.0,14.7,299845.8
SBIN.NS,2022,0.0,11.31,31676.0,12.95,409972.12
SBIN.NS,2023,0.0,15.33,50232.0,8.8,441852.2
SBIN.NS,2024,0.0,16.19,61077.0,10.68,652150.12
AXISBANK.NS,2019,0.0,7.01,4677.0,41.86,391395.58
AXISBANK.NS,2020,0.0,1.92,1627.0,65.41,212864.88
AXISBANK.NS,2021,0.0,6.48,6588.0,32.3,425759.15
AXISBANK.NS,2022,0.0,11.31,13025.0,17.86,465405.86
AXISBANK.NS,2023,0.0,7.64,9580.0,27.5,526581.45
AXISBANK.NS,2024,0.0,16.46,24861.0,13.05,648707.63
BAJFINANCE.NS,2019,0.0,19.88,3890.0,43.88,33957.2
BAJFINANCE.NS,2020,0.0,15.34,4881.0,26.94,26218.8
BAJFINANCE.NS,2021,0.0,11.01,3956.0,77.41,60937.2
BAJFINANCE.NS,2022,0.0,15.1,6350.0,68.24,86620.27
BAJFINANCE.NS,2023,0.0,19.98,10290.0,32.58,67014.64
BAJFINANCE.NS,2024,0.0,17.56,12644.0,35.15,89034.48
HINDUNILVR.NS,2019,119.0,78.81,6036.0,54.75,329680.8
HINDUNILVR.NS,2020,120.0,83.9,6738.0,67.54,453973.68
HINDUNILVR.NS,2021,38.0,16.77,7954.0,66.84,531720.4
HINDUNILVR.NS,2022,24.0,18.08,8818.0,51.48,454012.95
HINDUNILVR.NS,2023,26.0,19.84,9962.0,57.83,576264.65
HINDUNILVR.NS,2024,27.0,19.84,10114.0,51.65,522499.0
ITC.NS,2019,34.0,21.51,12464.0,22.47,280190.04
ITC.NS,2020,32.0,23.64,15136.0,10.93,165349.66
ITC.NS,2021,28.0,22.09,13032.0,17.4,226848.68
ITC.NS,2022,33.0,24.52,15058.0,18.19,273861.28
ITC.NS,2023,38.0,27.74,18753.0,23.43,439499.94
ITC.NS,2024,36.0,28.27,20422.0,24.77,505789.44
NESTLEIND.NS,2024,169.0,0.0,0.0,0.0,244544.64
MARICO.NS,2019,36.0,32.36,1129.0,36.32,40998.78
MARICO.NS,2020,40.0,34.87,1007.0,32.86,33061.41
MARICO.NS,2021,44.0,36.44,1106.0,45.68,50444.16
MARICO.NS,2022,44.0,38.14,1163.0,54.17,62895.24
MARICO.NS,2023,43.0,32.06,1179.0,51.38,60453.27
MARICO.NS,2024,37.0,29.97,1078.0,59.21,63620.22
BRITANNIA.NS,2019,47.0,27.78,1122.0,58.77,65869.2
BRITANNIA.NS,2020,41.0,34.71,1484.0,39.43,58410.96
BRITANNIA.NS,2021,47.0,53.03,1760.0,46.39,81350.64
BRITANNIA.NS,2022,47.0,66.74,1603.0,45.96,73417.92
BRITANNIA.NS,2023,53.0,67.24,2139.0,47.23,100672.56
BRITANNIA.NS,2024,53.0,59.03,2082.0,55.9,115975.2
COLPAL.NS,2019,73.0,53.63,776.0,38.16,29386.8
COLPAL.NS,2020,65.0,51.19,816.0,36.84,29856.6
COLPAL.NS,2021,92.0,88.77,1035.0,37.5,38543.04
COLPAL.NS,2022,92.0,62.17,1078.0,36.05,38595.69
COLPAL.NS,2023,79.0,61.01,1047.0,37.18,38646.99
COLPAL.NS,2024,97.0,70.65,1324.0,54.25,71291.34
DABUR.NS,2019,35.0,31.85,1264.0,53.22,67452.93
DABUR.NS,2020,34.0,25.57,1170.0,65.03,76200.27
DABUR.NS,2021,33.0,25.64,1382.0,66.55,92119.65
DABUR.NS,2022,32.0,24.44,1433.0,64.25,92234.7
DABUR.NS,2023,28.0,21.84,1373.0,68.97,94606.5
DABUR.NS,2024,28.0,21.82,1509.0,61.52,92779.86
GODREJCP.NS,2019,32.0,35.63,1755.0,37.88,66338.76
GODREJCP.NS,2020,28.0,23.02,1180.0,43.89,51657.9
GODREJCP.NS,2021,27.0,19.25,1224.0,59.27,72366.96
GODREJCP.NS,2022,24.0,18.84,1479.0,50.25,74117.28
GODREJCP.NS,2023,22.0,16.13,1514.0,63.61,96021.78
GODREJCP.NS,2024,24.0,6.77,647.0,189.62,122430.6
EMAMILTD.NS,2019,19.0,14.78,305.0,53.66,16227.45
EMAMILTD.NS,2020,17.0,16.04,289.0,24.57,7042.5
EMAMILTD.NS,2021,30.0,27.0,475.0,42.66,20066.64
EMAMILTD.NS,2022,31.0,40.8,851.0,22.1,18744.88
EMAMILTD.NS,2023,26.0,25.35,574.0,26.78,15319.92
EMAMILTD.NS,2024,31.0,29.08,693.0,27.33,19107.88
JUBLFOOD.NS,2019,43.0,24.4,323.0,58.79,37946.04
JUBLFOOD.NS,2020,29.0,23.25,275.0,69.99,38525.52
JUBLFOOD.NS,2021,16.0,15.63,234.0,163.1,76214.16
JUBLFOOD.NS,2022,22.0,21.25,438.0,79.0,69140.28
JUBLFOOD.NS,2023,18.0,16.59,356.0,81.13,57827.88
JUBLFOOD.NS,2024,12.0,10.58,234.0,128.22,59916.12
ASIANPAINT.NS,2019,37.0,24.11,2132.0,63.5,135518.4
ASIANPAINT.NS,2020,36.0,28.08,2654.0,57.6,153001.92
ASIANPAINT.NS,2021,36.0,25.25,3052.0,76.45,233521.92
ASIANPAINT.NS,2022,32.0,23.48,3135.0,90.9,285192.96
ASIANPAINT.NS,2023,36.0,26.31,4100.0,62.76,257564.16
ASIANPAINT.NS,2024,40.0,29.06,5315.0,50.76,270016.32
BERGEPAINT.NS,2019,29.0,18.51,436.0,71.46,25925.19
BERGEPAINT.NS,2020,31.0,26.63,699.0,67.83,39479.97
BERGEPAINT.NS,2021,28.0,20.77,681.0,107.12,60684.17
BERGEPAINT.NS,2022,25.0,19.93,750.0,89.3,55695.46
BERGEPAINT.NS,2023,24.0,19.28,828.0,67.43,46507.62
BERGEPAINT.NS,2024,26.0,20.28,1015.0,64.62,65853.45
KANSAINER.NS,2019,21.0,13.64,467.0,49.65,15497.46
KANSAINER.NS,2020,19.0,14.13,535.0,38.04,13599.9
KANSAINER.NS,2021,18.0,13.02,531.0,60.19,21322.44
KANSAINER.NS,2022,12.0,8.97,374.0,66.75,16687.62
KANSAINER.NS,2023,14.0,10.55,486.0,42.55,13833.18
KANSAINER.NS,2024,17.0,20.93,1183.0,18.59,22023.9
PIDILITIND.NS,2019,35.0,23.38,979.0,63.25,62191.44
PIDILITIND.NS,2020,35.0,24.68,1102.0,61.5,67995.24
PIDILITIND.NS,2021,29.0,19.44,1081.0,83.58,90703.5
PIDILITIND.NS,2022,27.0,18.77,1191.0,103.3,123484.26
PIDILITIND.NS,2023,24.0,17.68,1257.0,94.27,118896.81
PIDILITIND.NS,2024,31.0,21.58,1799.0,85.82,154845.18
TITAN.NS,2019,27.0,22.23,1374.0,70.67,97366.0
TITAN.NS,2020,24.0,22.23,1517.0,53.59,81512.43
TITAN.NS,2021,14.0,11.61,877.0,155.28,136542.91
TITAN.NS,2022,22.0,23.26,2180.0,101.93,222793.7
TITAN.NS,2023,26.0,27.79,3333.0,66.36,221708.79
TITAN.NS,2024,22.0,24.51,3544.0,93.06,330637.67
BAJAJ-AUTO.NS,2019,31.0,21.46,4675.0,14.77,689750.52
BAJAJ-AUTO.NS,2020,31.0,25.6,5100.0,10.03,511099.39
BAJAJ-AUTO.NS,2021,26.0,18.07,4555.0,20.39,927652.43
BAJAJ-AUTO.NS,2022,24.0,18.82,5019.0,19.06,955130.55
BAJAJ-AUTO.NS,2023,28.0,22.13,5628.0,18.33,1031996.29
BAJAJ-AUTO.NS,2024,38.0,30.08,7479.0,32.65,2440569.24
HEROMOTOCO.NS,2019,40.0,26.33,3385.0,12.95,87809.2
HEROMOTOCO.NS,2020,28.0,25.7,3633.0,7.84,57062.8
HEROMOTOCO.NS,2021,25.0,19.5,2964.0,17.71,105087.2
HEROMOTOCO.NS,2022,20.0,15.67,2473.0,17.08,84574.4
HEROMOTOCO.NS,2023,23.0,17.43,2911.0,15.43,89916.4
HEROMOTOCO.NS,2024,30.0,22.06,3968.0,22.84,181316.0
EICHERMOT.NS,2019,50.0,28.82,2054.0,25.32,51488.73
EICHERMOT.NS,2020,31.0,23.01,1904.0,18.14,34148.25
EICHERMOT.NS,2021,20.0,13.7,1330.0,51.69,67899.6
EICHERMOT.NS,2022,21.0,14.69,1586.0,41.16,64470.6
EICHERMOT.NS,2023,29.0,20.35,2623.0,30.08,77886.9
EICHERMOT.NS,2024,34.0,23.89,3749.0,28.5,105391.8
TVSMOTOR.NS,2019,24.0,20.01,670.0,32.9,22280.64
TVSMOTOR.NS,2020,17.0,16.36,592.0,23.27,13931.04
TVSMOTOR.NS,2021,17.0,14.67,612.0,44.56,27548.64
TVSMOTOR.NS,2022,22.0,18.54,894.0,32.83,29643.36
TVSMOTOR.NS,2023,27.0,24.65,1491.0,34.05,51289.44
TVSMOTOR.NS,2024,31.0,26.94,2083.0,48.59,102252.96
M&M.NS,2019,18.0,14.02,4796.0,16.05,369025.32
M&M.NS,2020,14.0,3.86,1331.0,25.3,161595.96
M&M.NS,2021,14.0,2.82,984.0,95.79,452925.99
M&M.NS,2022,15.0,12.75,4870.0,19.86,465309.78
M&M.NS,2023,21.0,15.1,6549.0,21.44,676438.72
M&M.NS,2024,26.0,20.35,10642.0,22.05,1132116.0
MARUTI.NS,2019,19.0,16.26,7501.0,26.09,978164.41
MARUTI.NS,2020,9.0,11.67,5651.0,22.01,621745.52
MARUTI.NS,2021,11.0,8.23,4230.0,47.46,1003435.77
MARUTI.NS,2022,6.0,6.96,3766.0,59.13,1113199.18
MARUTI.NS,2023,15.0,13.33,8049.0,30.54,1228834.98
MARUTI.NS,2024,19.0,15.73,13209.0,29.64,1954962.43
ULTRACEMCO.NS,2019,11.0,7.24,2412.0,44.93,1085265.5
ULTRACEMCO.NS,2020,12.0,14.25,5456.0,16.76,915329.47
ULTRACEMCO.NS,2021,16.0,12.32,5342.0,35.65,1906677.5
ULTRACEMCO.NS,2022,15.0,14.34,7067.0,26.54,1877407.58
ULTRACEMCO.NS,2023,13.0,9.27,4951.0,43.98,2179851.86
ULTRACEMCO.NS,2024,15.0,11.68,6905.0,41.37,2859863.08
AMBUJACEM.NS,2023,13.0,8.96,2553.0,28.07,143324.94
AMBUJACEM.NS,2024,9.0,6.31,2335.0,58.13,271642.8
ACC.NS,2023,9.0,0.0,0.0,0.0,309703.68
ACC.NS,2024,17.0,13.26,2124.0,22.34,475096.68
SHREECEM.NS,2019,12.0,9.91,951.0,67.36,643629.35
SHREECEM.NS,2020,16.0,12.14,1570.0,39.69,621825.84
SHREECEM.NS,2021,19.0,15.16,2312.0,45.27,1044225.36
SHREECEM.NS,2022,17.0,13.76,2377.0,36.06,855026.64
SHREECEM.NS,2023,9.0,7.26,1328.0,70.59,935469.72
SHREECEM.NS,2024,15.0,12.11,2468.0,38.53,948909.96
JKCEMENT.NS,2019,14.0,11.23,325.0,19.58,63389.48
JKCEMENT.NS,2020,19.0,12.78,400.0,17.74,70784.56
JKCEMENT.NS,2021,23.0,16.15,603.0,36.49,219208.22
JKCEMENT.NS,2022,19.0,14.84,631.0,29.41,184806.93
JKCEMENT.NS,2023,12.0,10.84,503.0,44.63,223555.64
JKCEMENT.NS,2024,16.0,15.52,831.0,39.75,329006.37
RAMCOCEM.NS,2019,14.0,11.34,506.0,33.99,17512.56
RAMCOCEM.NS,2020,12.0,12.22,601.0,19.85,12154.8
RAMCOCEM.NS,2021,15.0,13.52,761.0,30.79,23835.84
RAMCOCEM.NS,2022,10.0,13.69,893.0,20.14,18260.4
RAMCOCEM.NS,2023,7.0,5.06,344.0,51.76,18061.44
RAMCOCEM.NS,2024,8.0,5.53,395.0,50.44,20238.96
JSWSTEEL.NS,2019,22.0,23.27,8121.0,8.02,81146.59
JSWSTEEL.NS,2020,11.0,13.79,5291.0,6.26,41233.99
JSWSTEEL.NS,2021,17.0,17.87,8393.0,12.77,133918.88
JSWSTEEL.NS,2022,27.0,26.3,16702.0,10.13,210796.32
JSWSTEEL.NS,2023,10.0,7.76,4937.0,33.21,204096.06
JSWSTEEL.NS,2024,14.0,10.68,8041.0,26.24,263169.25
TATASTEEL.NS,2019,19.0,14.48,10533.0,4.68,50148.96
TATASTEEL.NS,2020,10.0,8.78,6744.0,3.78,25922.52
TATASTEEL.NS,2021,18.0,17.94,17078.0,4.9,83798.11
TATASTEEL.NS,2022,32.0,26.32,33011.0,4.26,140591.1
TATASTEEL.NS,2023,14.0,10.75,14685.0,8.06,118460.68
TATASTEEL.NS,2024,14.0,11.09,15662.0,12.45,195193.72
SAIL.NS,2019,8.0,5.71,2179.0,8.84,192380.67
SAIL.NS,2020,8.0,5.08,2022.0,4.05,81835.11
SAIL.NS,2021,11.0,8.85,3850.0,7.38,284254.11
SAIL.NS,2022,24.0,23.1,12015.0,3.18,382406.67
SAIL.NS,2023,6.0,3.65,1903.0,17.57,334611.0
SAIL.NS,2024,8.0,5.05,2733.0,21.1,576935.46
HINDALCO.NS,2019,4.0,2.48,1205.0,38.62,46040.58
HINDALCO.NS,2020,4.0,1.36,620.0,33.54,20548.32
HINDALCO.NS,2021,3.0,1.98,993.0,71.89,70540.5
HINDALCO.NS,2022,14.0,10.12,5507.0,22.74,123758.34
